chunk,rows,parameter,mean,sd,ci_lower,ci_upper,r_hat,ess
1,1-90,beta_0,110.7,274.58,-436.48,636.09,1.0,3792
1,1-90,beta_1_temp,7048.01,403.69,6227.14,7800.21,1.0,4555
1,1-90,beta_2_hum,-313.03,427.11,-1141.5,539.08,1.0,3901
1,1-90,sigma,652.34,51.39,554.34,753.71,1.0,5179
2,91-180,beta_0,462.27,220.53,40.95,902.79,1.0,4919
2,91-180,beta_1_temp,6343.33,322.94,5682.95,6962.17,1.0,5145
2,91-180,beta_2_hum,-248.28,299.38,-836.02,338.71,1.0,5430
2,91-180,sigma,1127.27,86.42,965.48,1301.45,1.0,4959
3,181-270,beta_0,1214.61,165.33,910.06,1547.63,1.0,4419
3,181-270,beta_1_temp,7405.69,288.12,6838.4,7963.88,1.0,5060
3,181-270,beta_2_hum,180.44,250.04,-297.65,686.2,1.0,4903
3,181-270,sigma,1088.38,88.39,924.54,1267.42,1.0,5544
4,271-360,beta_0,1490.63,141.33,1209.04,1761.3,1.0,6420
4,271-360,beta_1_temp,7606.91,241.59,7135.38,8076.6,1.0,6030
4,271-360,beta_2_hum,438.5,216.34,14.1,853.02,1.0,6286
4,271-360,sigma,1497.11,113.42,1279.57,1720.08,1.0,6604
