dteday,cnt,temp,hum,season,yr,mnth,holiday,weekday,workingday,weathersit,atemp,windspeed,casual,registered,instant
2011-01-01,985,0.344167,0.805833,1,0,1,0,6,0,2,0.363625,0.160446,331,654,1
2011-01-03,1349,0.196364,0.437273,1,0,1,0,1,1,1,0.189405,0.248309,120,1229,3
2011-01-07,1510,0.196522,0.498696,1,0,1,0,5,1,2,0.208839,0.168726,148,1362,7
2011-01-08,959,0.165,0.535833,1,0,1,0,6,0,2,0.162254,0.266804,68,891,8
2011-01-10,1321,0.150833,0.482917,1,0,1,0,1,1,1,0.150888,0.223267,41,1280,10
2011-01-11,1263,0.169091,0.686364,1,0,1,0,2,1,2,0.191464,0.122132,43,1220,11
2011-01-12,1162,0.172727,0.599545,1,0,1,0,3,1,1,0.160473,0.304627,25,1137,12
2011-01-16,1204,0.231667,0.48375,1,0,1,0,0,0,1,0.234217,0.188433,251,953,16
2011-01-19,1650,0.292174,0.741739,1,0,1,0,3,1,2,0.298422,0.208317,78,1572,19
2011-01-23,986,0.0965217,0.436522,1,0,1,0,0,0,1,0.0988391,0.2466,150,836,23
2011-01-24,1416,0.0973913,0.491739,1,0,1,0,1,1,1,0.11793,0.15833,86,1330,24
2011-01-25,1985,0.223478,0.616957,1,0,1,0,2,1,2,0.234526,0.129796,186,1799,25
2011-01-29,1098,0.196522,0.651739,1,0,1,0,6,0,1,0.212126,0.145365,123,975,29
2011-01-30,1096,0.216522,0.722174,1,0,1,0,0,0,1,0.250322,0.0739826,140,956,30
2011-01-31,1501,0.180833,0.60375,1,0,1,0,1,1,2,0.18625,0.187192,42,1459,31
2011-02-01,1360,0.192174,0.829565,1,0,2,0,2,1,2,0.23453,0.053213,47,1313,32
2011-02-03,1550,0.186957,0.437826,1,0,2,0,4,1,1,0.177878,0.277752,61,1489,34
2011-02-09,1605,0.134783,0.494783,1,0,2,0,3,1,2,0.144283,0.188839,53,1552,40
2011-02-11,1746,0.189091,0.506364,1,0,2,0,5,1,1,0.213509,0.10855,149,1597,42
2011-02-12,1472,0.2225,0.544167,1,0,2,0,6,0,1,0.232954,0.203367,288,1184,43
2011-02-13,1589,0.316522,0.457391,1,0,2,0,0,0,1,0.324113,0.260883,397,1192,44
2011-02-14,1913,0.415,0.375833,1,0,2,0,1,1,1,0.39835,0.417908,208,1705,45
2011-02-16,2115,0.318261,0.423478,1,0,2,0,3,1,1,0.3162,0.251791,218,1897,47
2011-02-19,1635,0.399167,0.187917,1,0,2,0,6,0,1,0.391404,0.507463,532,1103,50
2011-02-21,1107,0.303333,0.605,1,0,2,1,1,0,2,0.284075,0.307846,195,912,52
2011-02-24,1807,0.295652,0.697391,1,0,2,0,4,1,2,0.289191,0.250496,100,1707,55
2011-02-25,1461,0.364348,0.712174,1,0,2,0,5,1,2,0.350461,0.346539,120,1341,56
