chunk,rows,parameter,mean,sd,ci_lower,ci_upper,r_hat,ess
1,1-90,beta_0,110.7,274.58,-436.48,636.09,1.0,3792
1,1-90,beta_1_temp,7048.01,403.69,6227.14,7800.21,1.0,4555
1,1-90,beta_2_hum,-313.03,427.11,-1141.5,539.08,1.0,3901
1,1-90,sigma,652.34,51.39,554.34,753.71,1.0,5179
2,91-180,beta_0,456.59,224.29,0.56,879.93,1.0,4879
2,91-180,beta_1_temp,6344.03,322.86,5728.72,6993.1,1.0,5328
2,91-180,beta_2_hum,-239.59,309.89,-830.78,385.62,1.0,5415
2,91-180,sigma,1134.39,89.86,967.21,1316.86,1.0,5466
3,181-270,beta_0,1216.95,166.69,872.68,1524.4,1.0,4912
3,181-270,beta_1_temp,7391.85,285.56,6841.07,7952.35,1.0,5636
3,181-270,beta_2_hum,191.53,254.57,-304.22,691.52,1.0,5069
3,181-270,sigma,1089.37,88.06,923.45,1264.94,1.0,5486
4,271-360,beta_0,1488.85,141.79,1213.65,1773.4,1.0,6016
4,271-360,beta_1_temp,7592.01,241.28,7130.18,8077.08,1.0,6904
4,271-360,beta_2_hum,456.35,218.01,29.27,878.65,1.0,5852
4,271-360,sigma,1502.72,115.42,1290.41,1736.21,1.0,6877
